                                              ,0                 ,ATE                   ,ATE (SE)             ,ATE 25%               ,ATE 75%             ,HR                ,HR (SE)               ,HR 25%            ,HR 75%            ,mean                   ,p-value
0                                             ,                  ,-0.0001951654558070004,8.810941835690755e-06,0.0                   ,0.0                 ,                  ,                      ,                  ,                  ,                       ,
1                                             ,                  ,0.00475035235285759   ,0.0003139697655569762,-0.0006952285766601562,0.008802905678749084,                  ,                      ,                  ,                  ,                       ,
2                                             ,                  ,0.006558275315910578  ,0.0006087859510444105,-0.0020585060119628906,0.01750756800174713 ,                  ,                      ,                  ,                  ,                       ,
3                                             ,                  ,0.010595978237688541  ,0.0009041728335432708,-0.004403293132781982 ,0.021135225892066956,                  ,                      ,                  ,                  ,                       ,
4                                             ,                  ,0.016851045191287994  ,0.001219181576743722 ,-0.01089496910572052  ,0.0352933406829834  ,                  ,                      ,                  ,                  ,                       ,
5                                             ,                  ,0.027141546830534935  ,0.001509174588136375 ,-0.018293455243110657 ,0.05720379948616028 ,                  ,                      ,                  ,                  ,                       ,
6                                             ,                  ,0.03818628191947937   ,0.0017731405096128583,-0.027051210403442383 ,0.08207929134368896 ,                  ,                      ,                  ,                  ,                       ,
7                                             ,                  ,0.0477212630212307    ,0.0020610501524060965,-0.053687021136283875 ,0.12054306268692017 ,                  ,                      ,                  ,                  ,                       ,
8                                             ,                  ,0.05947316065430641   ,0.002285315888002515 ,-0.06733469665050507  ,0.15326818823814392 ,                  ,                      ,                  ,                  ,                       ,
9                                             ,                  ,0.0750412568449974    ,0.0024913805536925793,-0.08013693988323212  ,0.193452849984169   ,                  ,                      ,                  ,                  ,                       ,
10                                            ,                  ,0.08344589173793793   ,0.002687221858650446 ,-0.09816926717758179  ,0.2300754338502884  ,                  ,                      ,                  ,                  ,                       ,
11                                            ,                  ,0.09052156656980515   ,0.002880766289308667 ,-0.10186905786395073  ,0.27023090422153473 ,                  ,                      ,                  ,                  ,                       ,
12                                            ,                  ,0.09536640346050262   ,0.003046419471502304 ,-0.10648642107844353  ,0.3025851845741272  ,                  ,                      ,                  ,                  ,                       ,
13                                            ,                  ,0.10789264738559723   ,0.003199249040335417 ,-0.11314766108989716  ,0.30355531722307205 ,                  ,                      ,                  ,                  ,                       ,
14                                            ,                  ,0.1277598738670349    ,0.00331452046521008  ,-0.1134020946919918   ,0.31414176523685455 ,                  ,                      ,                  ,                  ,                       ,
15                                            ,                  ,0.1438313126564026    ,0.0034102858044207096,-0.09325248003005981  ,0.3497614860534668  ,                  ,                      ,                  ,                  ,                       ,
16                                            ,                  ,0.14948084950447083   ,0.0035277714487165213,-0.09797163493931293  ,0.3809458166360855  ,                  ,                      ,                  ,                  ,                       ,
17                                            ,                  ,0.1495472937822342    ,0.003633648157119751 ,-0.10727456212043762  ,0.40246833860874176 ,                  ,                      ,                  ,                  ,                       ,
18                                            ,                  ,0.15826769173145294   ,0.0037094929721206427,-0.10790739580988884  ,0.4281201660633087  ,                  ,                      ,                  ,                  ,                       ,
19                                            ,                  ,0.17198902368545532   ,0.003740025218576193 ,-0.09692972898483276  ,0.4527294933795929  ,                  ,                      ,                  ,                  ,                       ,
0                                             ,                  ,                      ,                     ,                      ,                    ,0.9998098015785217,8.812010491965339e-06 ,1.0               ,1.0               ,                       ,
1                                             ,                  ,                      ,                     ,                      ,                    ,1.0054525136947632,0.0003381677088327706 ,0.9993051886558533,1.0088810920715332,                       ,
2                                             ,                  ,                      ,                     ,                      ,                    ,1.0017833709716797,0.0003720425011124462 ,0.998643696308136 ,1.0053359270095825,                       ,
3                                             ,                  ,                      ,                     ,                      ,                    ,1.0037792921066284,0.00043690818711183965,0.9976499080657959,1.0087746381759644,                       ,
4                                             ,                  ,                      ,                     ,                      ,                    ,1.0061534643173218,0.0005505728186108172 ,0.9934760928153992,1.0166964530944824,                       ,
5                                             ,                  ,                      ,                     ,                      ,                    ,1.0112985372543335,0.0006000392022542655 ,0.9925082921981812,1.0232406854629517,                       ,
6                                             ,                  ,                      ,                     ,                      ,                    ,1.0130337476730347,0.0006393407820723951 ,0.9910537004470825,1.0271012783050537,                       ,
7                                             ,                  ,                      ,                     ,                      ,                    ,1.011196494102478 ,0.0008012379985302687 ,0.9720082879066467,1.043759524822235 ,                       ,
8                                             ,                  ,                      ,                     ,                      ,                    ,1.0155352354049683,0.000729663297533989  ,0.9833300709724426,1.0387194454669952,                       ,
9                                             ,                  ,                      ,                     ,                      ,                    ,1.0239450931549072,0.0007808122900314629 ,0.9830758422613144,1.0499557554721832,                       ,
10                                            ,                  ,                      ,                     ,                      ,                    ,1.0113422870635986,0.0008172641391865909 ,0.9689508527517319,1.0478485226631165,                       ,
11                                            ,                  ,                      ,                     ,                      ,                    ,1.0083813667297363,0.0009073318215087056 ,0.9556908011436462,1.055698186159134 ,                       ,
12                                            ,                  ,                      ,                     ,                      ,                    ,1.0022364854812622,0.0008869091398082674 ,0.9532470703125   ,1.0473223328590393,                       ,
13                                            ,                  ,                      ,                     ,                      ,                    ,1.022019624710083 ,0.0009370227344334126 ,0.9568096548318863,1.0710022151470184,                       ,
14                                            ,                  ,                      ,                     ,                      ,                    ,1.0443556308746338,0.0009097083820961416 ,0.9831570684909821,1.0811049938201904,                       ,
15                                            ,                  ,                      ,                     ,                      ,                    ,1.040635108947754 ,0.0008631472592242062 ,0.9854204207658768,1.0719265937805176,                       ,
16                                            ,                  ,                      ,                     ,                      ,                    ,1.0107735395431519,0.0009744266862981021 ,0.9436254501342773,1.0675826668739319,                       ,
